admin,admin_duration,info,info_duration,prod_related,prod_related_duration,bounce_rate,exit_rate,page_value,special_day,month,os,browser,region,traffic_type,visitor_type,weekend,revenue
2,0 days 00:00:16,0,0 days 00:00:00,16,0 days 00:06:21.686507900,0.011764706,0.046568627,0.0,0.6,Feb,2,4,2,1,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,6,0 days 00:02:49,0.0,0.016666667,0.0,0.4,Feb,1,1,3,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,8,0 days 00:06:40.800000,0.05,0.120833333,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,False,False
12,0 days 00:04:39.416666700,0,0 days 00:00:00,42,0 days 00:25:53.583333,0.009,0.019666667,38.30849268,0.0,Feb,1,1,3,2,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,14,0 days 00:11:46.500000,0.0,0.007142857,0.0,0.0,Feb,2,2,5,4,Returning_Visitor,True,False
0,0 days 00:00:00,0,0 days 00:00:00,1,0 days 00:00:00,0.2,0.2,0.0,0.0,Feb,2,2,4,3,Returning_Visitor,False,False
3,0 days 00:01:27.833333330,0,0 days 00:00:00,27,0 days 00:13:18.333333300,0.0,0.012643678,22.9160357,0.8,Feb,2,2,3,1,Returning_Visitor,False,True
4,0 days 00:00:44,0,0 days 00:00:00,90,0 days 01:55:51.972222,0.002150538,0.015013034,0.0,0.0,Feb,4,1,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,1,0 days 00:00:00,0.2,0.2,0.0,0.6,Feb,2,2,5,1,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,18,0 days 00:15:02,0.0,0.007407407,0.0,0.0,Feb,2,7,2,4,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,1,0 days 00:00:00,0.2,0.2,0.0,0.2,Feb,3,2,3,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,1,0 days 00:00:00,0.2,0.2,0.0,0.0,Feb,2,6,1,2,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,20,0 days 00:03:17.377777800,0.025,0.0525,0.0,0.0,Feb,2,6,6,1,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,2,0 days 00:00:43,0.0,0.1,0.0,0.4,Feb,2,2,3,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,8,0 days 00:07:06.666666700,0.0,0.0125,0.0,0.0,Feb,2,4,3,2,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,3,0 days 00:02:15,0.0,0.066666667,0.0,0.0,Feb,2,4,3,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,16,0 days 00:09:48.333333300,0.0,0.025,0.0,0.0,Feb,2,4,1,1,Returning_Visitor,False,False
10,0 days 00:16:45.666667,0,0 days 00:00:00,36,0 days 00:35:11.341667,0.004347826,0.014492754,11.43941195,0.0,Feb,2,6,1,2,Returning_Visitor,False,True
0,0 days 00:00:00,0,0 days 00:00:00,2,0 days 00:01:16,0.0,0.05,0.0,0.6,Feb,3,2,3,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,1,0 days 00:00:00,0.2,0.2,0.0,1.0,Feb,1,1,1,3,Returning_Visitor,True,False
0,0 days 00:00:00,0,0 days 00:00:00,1,0 days 00:00:00,0.2,0.2,0.0,0.4,Feb,1,1,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,7,0 days 00:03:28,0.0,0.028571429,0.0,0.0,Feb,4,1,1,5,Returning_Visitor,True,False
0,0 days 00:00:00,0,0 days 00:00:00,4,0 days 00:04:30,0.0,0.016666667,0.0,0.8,Feb,1,1,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,6,0 days 00:00:39.500000,0.0,0.02,0.0,0.0,Feb,2,2,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,12,0 days 00:06:15,0.016666667,0.058333333,0.0,0.0,Feb,3,2,4,1,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,1,0 days 00:00:00,0.2,0.2,0.0,0.8,Feb,2,2,2,1,Returning_Visitor,True,False
0,0 days 00:00:00,0,0 days 00:00:00,1,0 days 00:00:00,0.2,0.2,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,7,0 days 00:02:30,0.057142857,0.085714286,0.0,0.0,Feb,2,2,2,1,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,3,0 days 00:02:18,0.0,0.066666667,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,7,0 days 00:05:37.500000,0.028571429,0.023809524,0.0,0.4,Feb,4,1,3,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,19,0 days 00:10:20.033333300,0.0,0.007894737,0.0,0.0,Feb,1,1,4,2,Returning_Visitor,False,False
2,0 days 00:00:36,0,0 days 00:00:00,15,0 days 00:02:48.846153800,0.0,0.011764706,0.0,0.4,Feb,1,1,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,1,0 days 00:00:00,0.2,0.2,0.0,0.0,Feb,1,1,1,2,Returning_Visitor,True,False
0,0 days 00:00:00,0,0 days 00:00:00,2,0 days 00:00:52,0.0,0.1,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,13,0 days 00:10:49.250000,0.0,0.015384615,0.0,0.0,Feb,2,2,1,5,New_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,27,0 days 00:15:25.333333300,0.003703704,0.025925926,0.0,0.6,Feb,4,1,3,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,2,0 days 00:00:33,0.0,0.1,0.0,0.2,Feb,1,1,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,6,0 days 00:26:06.500000,0.05,0.066666667,0.0,0.2,Feb,1,1,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,4,0 days 00:01:45,0.0,0.025,0.0,0.6,Feb,1,1,1,4,Returning_Visitor,False,False
0,0 days 00:00:00,1,0 days 00:00:00,7,0 days 00:00:50,0.038095238,0.080952381,0.0,0.6,Feb,2,4,1,7,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,16,0 days 00:10:44.200000,0.004166667,0.031666667,0.0,0.0,Feb,3,2,3,4,Returning_Visitor,False,False
3,0 days 00:00:18.333333330,0,0 days 00:00:00,38,0 days 00:43:55.177778,0.0,0.008947368,0.0,0.4,Feb,2,4,1,2,Returning_Visitor,False,False
4,0 days 00:01:01,0,0 days 00:00:00,19,0 days 00:10:07,0.0,0.026984127,17.53595893,1.0,Feb,1,1,7,4,Returning_Visitor,True,True
0,0 days 00:00:00,0,0 days 00:00:00,6,0 days 00:06:55,0.0,0.033333333,0.0,0.4,Feb,1,1,3,2,Returning_Visitor,False,False
2,0 days 00:00:31,1,0 days 00:00:16,36,0 days 00:34:43.530952,0.0,0.01351025,0.0,0.8,Feb,2,2,4,3,Returning_Visitor,False,False
3,0 days 00:00:58.500000,0,0 days 00:00:00,17,0 days 00:04:41.666666700,0.007058824,0.017647059,0.0,0.0,Feb,1,1,3,4,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,2,0 days 00:00:27,0.15,0.15,0.0,0.0,Feb,1,1,7,2,Returning_Visitor,False,False
0,0 days 00:00:00,1,0 days 00:00:00,9,0 days 00:03:35,0.044444444,0.074074074,0.0,0.8,Feb,4,1,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,12,0 days 00:02:42,0.05,0.066666667,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,2,0 days 00:01:54,0.05,0.066666667,0.0,0.8,Feb,3,3,1,3,Returning_Visitor,False,False
6,0 days 00:05:26.250000,4,0 days 00:01:34,128,0 days 01:24:22.213753,0.000854701,0.01791847,0.0,0.0,Feb,2,5,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,4,0 days 00:04:13,0.0,0.016666667,0.0,0.6,Feb,2,2,3,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,4,0 days 00:00:00,0.2,0.2,0.0,0.4,Feb,2,2,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,1,0 days 00:00:00,0.2,0.2,0.0,0.8,Feb,1,1,2,3,Returning_Visitor,False,False
2,0 days 00:00:22,0,0 days 00:00:00,25,0 days 00:07:16.500000,0.008,0.024,0.0,0.2,Feb,2,4,1,1,Returning_Visitor,False,False
0,0 days 00:00:00,1,0 days 00:01:33,30,0 days 00:17:25.833333,0.012903226,0.035483871,0.0,0.2,Feb,1,1,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,12,0 days 00:05:17.833333300,0.0,0.005555556,0.0,0.0,Feb,1,1,1,4,Returning_Visitor,True,False
0,0 days 00:00:00,0,0 days 00:00:00,21,0 days 00:19:06.333333,0.0,0.012962963,0.0,0.8,Feb,3,2,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,11,0 days 00:09:37,0.018181818,0.027272727,0.0,0.2,Feb,2,2,3,1,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,8,0 days 00:01:35,0.0,0.075,0.0,0.0,Feb,4,1,3,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,6,0 days 00:05:01.500000,0.0,0.111111111,0.0,0.0,Feb,2,4,9,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,6,0 days 00:04:03,0.0,0.033333333,0.0,0.0,Feb,2,4,4,1,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,4,0 days 00:02:15.500000,0.0,0.05,0.0,0.6,Feb,2,2,1,2,Returning_Visitor,False,False
0,0 days 00:00:00,2,0 days 00:01:15,14,0 days 00:07:22.333333300,0.0,0.034375,0.0,0.8,Feb,1,1,3,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,3,0 days 00:00:41,0.0,0.066666667,0.0,0.0,Feb,1,1,3,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,11,0 days 00:04:52.900000,0.028,0.11952381,0.0,0.0,Feb,2,4,3,1,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,1,0 days 00:00:00,0.2,0.2,0.0,0.0,Feb,1,1,3,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,9,0 days 00:20:38.333333,0.0,0.040740741,0.0,0.4,Feb,2,2,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,10,0 days 00:03:45.466666700,0.0,0.05,0.0,0.4,Feb,1,1,8,3,Returning_Visitor,False,False
4,0 days 00:07:42,0,0 days 00:00:00,51,0 days 00:31:13.216667,0.0,0.00754717,0.0,0.6,Feb,2,2,9,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,3,0 days 00:00:13,0.133333333,0.166666667,0.0,0.0,Feb,2,4,1,1,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,2,0 days 00:03:42,0.0,0.1,0.0,0.0,Feb,2,6,1,2,Returning_Visitor,True,False
2,0 days 00:00:20,0,0 days 00:00:00,16,0 days 00:03:34.833333300,0.0,0.022222222,0.0,0.0,Feb,2,2,1,6,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,1,0 days 00:00:00,0.2,0.2,0.0,0.0,Feb,3,2,3,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,6,0 days 00:33:37.166667,0.0,0.011111111,0.0,0.8,Feb,2,2,4,3,Returning_Visitor,False,False
6,0 days 00:01:51.500000,0,0 days 00:00:00,26,0 days 00:07:29.027777800,0.0,0.018518519,0.0,0.6,Feb,1,1,3,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,6,0 days 00:02:38.166666700,0.0,0.033333333,0.0,0.0,Feb,3,2,4,2,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,9,0 days 00:05:03.666666700,0.005555556,0.046296296,0.0,0.0,Feb,2,4,5,2,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,3,0 days 00:00:25,0.0,0.066666667,0.0,0.0,Feb,2,4,1,5,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,2,0 days 00:00:42,0.05,0.15,0.0,0.4,Feb,2,2,1,4,Returning_Visitor,False,False
4,0 days 00:01:43.625000,0,0 days 00:00:00,14,0 days 00:16:43.416667,0.0,0.018039216,0.0,0.2,Feb,1,1,3,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,1,0 days 00:00:00,0.2,0.2,0.0,0.0,Feb,2,2,7,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,9,0 days 00:04:32.500000,0.0,0.011851852,0.0,0.2,Feb,1,1,6,3,Returning_Visitor,False,False
3,0 days 00:00:19,0,0 days 00:00:00,8,0 days 00:05:44,0.0,0.007407407,0.0,0.0,Feb,2,4,2,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,1,0 days 00:00:00,0.2,0.2,0.0,0.0,Feb,2,2,2,3,Returning_Visitor,False,False
0,0 days 00:00:00,1,0 days 00:00:19,10,0 days 00:14:12,0.0,0.009090909,0.0,0.0,Feb,2,2,3,6,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,3,0 days 00:13:00,0.066666667,0.066666667,0.0,0.4,Feb,2,4,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,3,0 days 00:17:18,0.0,0.033333333,0.0,0.0,Feb,2,2,1,1,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,4,0 days 00:09:33,0.0,0.05,0.0,0.0,Feb,2,2,3,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,28,0 days 00:20:31.233333,0.007142857,0.030357143,0.0,0.0,Feb,1,1,4,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,11,0 days 00:05:16.666666700,0.0,0.027272727,0.0,0.8,Feb,2,2,2,1,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,20,0 days 00:14:33.736507900,0.0075,0.028166667,0.0,0.0,Feb,1,2,1,1,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,1,0 days 00:00:00,0.2,0.2,0.0,0.4,Feb,2,2,3,4,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,4,0 days 00:00:16,0.1,0.15,0.0,0.0,Feb,2,5,5,1,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,19,0 days 00:10:15,0.0,0.026315789,0.0,0.2,Feb,2,2,3,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,9,0 days 00:04:21.750000,0.0,0.026666667,0.0,0.0,Feb,2,6,1,1,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,21,0 days 00:10:15.883116900,0.033333333,0.04993081,0.0,0.0,Feb,3,2,2,1,Returning_Visitor,True,False
0,0 days 00:00:00,0,0 days 00:00:00,1,0 days 00:00:00,0.2,0.2,0.0,0.0,Feb,3,3,3,2,Returning_Visitor,True,False
0,0 days 00:00:00,0,0 days 00:00:00,6,0 days 00:01:57.500000,0.0,0.033333333,0.0,0.8,Feb,1,1,1,3,Returning_Visitor,True,False
0,0 days 00:00:00,0,0 days 00:00:00,23,0 days 00:08:21.666666700,0.008695652,0.01884058,0.0,0.6,Feb,1,1,4,2,Returning_Visitor,False,False
2,0 days 00:00:58,2,0 days 00:00:22,31,0 days 00:13:49.166666700,0.03030303,0.040606061,0.0,0.0,Feb,1,1,1,1,Returning_Visitor,True,False
1,0 days 00:00:09.500000,0,0 days 00:00:00,23,0 days 00:20:23,0.015217391,0.012463768,0.0,0.0,Feb,1,1,1,2,Returning_Visitor,True,False
0,0 days 00:00:00,0,0 days 00:00:00,6,0 days 00:07:47,0.0,0.016666667,0.0,0.4,Feb,1,1,3,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,23,0 days 00:12:17.166666700,0.008695652,0.011594203,0.0,0.6,Feb,2,2,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,12,0 days 00:02:09,0.0,0.033333333,0.0,0.0,Feb,1,1,3,2,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,5,0 days 00:01:03,0.0,0.04,0.0,0.0,Feb,2,2,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,5,0 days 00:02:05,0.086666667,0.166666667,0.0,0.0,Feb,2,2,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,11,0 days 00:11:24.333333300,0.018181818,0.063636364,0.0,0.0,Feb,2,4,6,1,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,20,0 days 00:11:05.472222200,0.0,0.0145,0.0,0.8,Feb,3,2,7,4,Returning_Visitor,True,False
1,0 days 00:00:00,0,0 days 00:00:00,15,0 days 00:08:07.500000,0.0,0.019166667,0.0,0.8,Feb,1,1,2,4,Returning_Visitor,True,False
0,0 days 00:00:00,0,0 days 00:00:00,17,0 days 00:07:17.166666700,0.011111111,0.033333333,0.0,0.0,Feb,2,4,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,3,0 days 00:00:55,0.066666667,0.1,0.0,0.6,Feb,1,1,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,1,0 days 00:00:00,0.2,0.2,0.0,0.8,Feb,1,1,1,2,Returning_Visitor,True,False
